Category,Scientific name,Latitude,Longitude,Date,County,Family,AU id,collector,id_method,id_by,alate
Formosan subterranean termite,Coptotermes formosanus,30.647044,-88.103738,2024-08-08,Mobile County,Heterotermitidae,AUT-2024-0048,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.664540,-88.260299,2024-08-09,Mobile County,Heterotermitidae,AUT-2024-0067,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.673536,-88.178937,2024-08-14,Mobile County,Heterotermitidae,AUT-2024-0054,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.765121,-88.136279,2024-08-26,Mobile County,Heterotermitidae,AUT-2024-0081,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.758621,-88.074818,2024-08-30,Mobile County,Heterotermitidae,AUT-2024-0065,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.709757,-88.302468,2024-09-20,Mobile County,Heterotermitidae,AUT-2024-0059,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.764070,-88.213492,2024-09-25,Mobile County,Heterotermitidae,AUT-2024-0068,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.589595,-88.228792,2024-10-01,Mobile County,Heterotermitidae,AUT-2024-0060,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.571766,-88.186941,2024-10-02,Mobile County,Heterotermitidae,AUT-2024-0072,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.431989,-88.303303,2024-10-03,Mobile County,Heterotermitidae,AUT-2024-0084,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.617200,-88.096392,2024-10-08,Mobile County,Heterotermitidae,AUT-2024-0085,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.620900,-88.075094,2024-10-17,Mobile County,Heterotermitidae,AUT-2024-0083,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.690951,-88.103543,2024-10-17,Mobile County,Heterotermitidae,AUT-2024-0088,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.816322,-88.064818,2024-10-31,Mobile County,Heterotermitidae,AUT-2024-0099,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.279511,-87.618189,2024-11-06,Baldwin County,Heterotermitidae,AUT-2024-0035,NM/EC,morphology,NM,no
Formosan subterranean termite,Coptotermes formosanus,30.661549,-88.083745,2024-11-25,Mobile County,Heterotermitidae,AUT-2024-0096,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,30.693808,-88.222558,2024-12-30,Mobile County,Heterotermitidae,AUT-2024-0092,Anthony Green,soldier,SH,no
Formosan subterranean termite,Coptotermes formosanus,32.470623,-84.999418,2025-05-19,Russell County,Heterotermitidae,AUT-2025-0058,Jennifer Davidson,morphology,NM,yes
Formosan subterranean termite,Coptotermes formosanus,30.626354,-87.917810,2025-12-19,Baldwin County,Heterotermitidae,AUT-2025-0036,NM,soldier,NM,no
Formosan subterranean termite,Coptotermes formosanus,32.577087,-85.485448,2026-05-19,Lee County,Heterotermitidae,AUT-2026-0032,NM,morphology,NM,yes
